zipcode,Boba_shop_cnt
90004,3
90005,7
90006,2
90007,3
90012,7
90013,1
90014,2
90017,4
90020,9
90024,6
90025,7
90026,2
90027,5
90028,1
90029,2
90036,1
90041,2
90046,1
90048,4
90057,1
90064,4
90066,1
90067,2
90069,2
90230,1
90232,3
90247,4
90248,2
90249,3
90250,1
90280,1
90403,1
90405,1
90503,1
90505,3
90650,1
90703,1
90802,1
90803,1
90808,1
91007,2
91020,1
91042,1
91101,3
91103,1
91105,6
91203,1
91204,2
91206,1
91210,1
91214,1
91303,2
91306,2
91324,5
91325,4
91335,2
91342,1
91344,1
91364,1
91367,1
91381,1
91405,1
91406,4
91411,2
91423,2
91502,1
91601,3
91606,1
91731,1
91745,2
91754,2
91755,1
91776,9
91801,4
92805,1
92832,1
93063,1